surveyVersion,surveyTitle,timestamp,userAgent,screenWidth,screenHeight,viewportWidth,viewportHeight,prolificPID,studyID,sessionID,condition,responses.consent.consent_agree,responses.comprehension.comp_0,responses.comprehension.comp_1,responses.t4.trial_guess,responses.t3.trial_guess,responses.t1.trial_guess,responses.t2.trial_guess,responses.attention1.attn_attention1,responses.posttask.hidden_belief,responses.posttask.adjustment,responses.demographics.age,responses.demographics.gender,responses.demographics.education,responses.demographics.stats_comfort,trialGuesses.t4.guess,trialGuesses.t4.trueAverage,trialGuesses.t4.N,trialGuesses.t4.k,trialGuesses.t4.disclosed,trialGuesses.t3.guess,trialGuesses.t3.trueAverage,trialGuesses.t3.N,trialGuesses.t3.k,trialGuesses.t3.disclosed,trialGuesses.t1.guess,trialGuesses.t1.trueAverage,trialGuesses.t1.N,trialGuesses.t1.k,trialGuesses.t1.disclosed,trialGuesses.t2.guess,trialGuesses.t2.trueAverage,trialGuesses.t2.N,trialGuesses.t2.k,trialGuesses.t2.disclosed,timing.welcome.startTime,timing.welcome.endTime,timing.welcome.durationMs,timing.consent.startTime,timing.consent.endTime,timing.consent.durationMs,timing.instructions_1.startTime,timing.instructions_1.endTime,timing.instructions_1.durationMs,timing.instructions_2.startTime,timing.instructions_2.endTime,timing.instructions_2.durationMs,timing.comprehension.startTime,timing.comprehension.endTime,timing.comprehension.durationMs,timing.t4.startTime,timing.t4.endTime,timing.t4.durationMs,timing.t3.startTime,timing.t3.endTime,timing.t3.durationMs,timing.t1.startTime,timing.t1.endTime,timing.t1.durationMs,timing.t2.startTime,timing.t2.endTime,timing.t2.durationMs,timing.attention1.startTime,timing.attention1.endTime,timing.attention1.durationMs,timing.posttask.startTime,timing.posttask.endTime,timing.posttask.durationMs,timing.demographics.startTime,timing.demographics.endTime,timing.demographics.durationMs,timing.debrief.startTime,comprehensionAttempts,comprehensionFailed,attentionResults,attentionPassed,attentionFailed,bonus.enabled,bonus.selectedTrialId,bonus.guess,bonus.trueAverage,bonus.error,bonus.amount,bonus.currency,botMetrics.honeypotFilled,botMetrics.honeypotValue,botMetrics.invisibleInstructionTriggered,botMetrics.aiVerifyValue,botMetrics.mouseMovements,botMetrics.mouseClicks,botMetrics.mouseMovementsPerMinute,botMetrics.mousePositionSamples,botMetrics.keyboardEvents,botMetrics.keystrokeIntervalMean,botMetrics.keystrokeIntervalCount,botMetrics.lastKeystrokeTime,botMetrics.scrollEvents,botMetrics.tabSwitches,botMetrics.totalBlurTimeMs,botMetrics.lastBlurTime,botMetrics.pasteEvents,botMetrics.trackingStartTime,botMetrics.trackingDurationMs,botMetrics.suspiciousFlags,responses.t2.comp_0,responses.t2.comp_1,responses.attention1.trial_guess,responses.debrief.age,responses.debrief.gender,responses.debrief.education,responses.debrief.stats_comfort
0.1.0-demo,Decision Study,2026-02-26T16:09:36.959Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1920,1080,1920,911,698b47e0a785e079268c0615,69a069767639e75a7bc2b117,69a06f30a653ca4eca12f27e,clean,TRUE,5.75,overestimate,5,5.2,5,6.2,strongly_disagree,low,somewhat,35-44,female,bachelors,2,5,4.75,8,1,[9],5.2,6.5,2,1,[9],5,5.5,2,1,[8],6.2,4,8,1,[8],1772121908990,1772121917767,8777,1772121917975,1772121931064,13089,1772121931281,1772121970294,39013,1772121970513,1772122004842,34329,1772122005060,1772122020591,15531,1772122020800,1772122058714,37914,1772122058922,1772122089840,30918,1772122090045,1772122122872,32827,1772122123085,1772122138288,15203,1772122138494,1772122144320,5826,1772122144537,1772122164824,20287,1772122165035,1772122176239,11204,1772122176464,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t3,5.2,6.5,1.3,0.74,USD,FALSE,,FALSE,,3174,41,710,100,11,7957,10,1772122137074,37,0,0,0,[],1772121908774,268185,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:12:13.835Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",1536,864,1528,779,63d02c1f6a00a2ad12d30a83,69a069767639e75a7bc2b117,69a06fc822f42a93c68e14e9,clean,TRUE,5.75,overestimate,5.8,6,6,,,low,a_lot,45-54,prefer_not,doctorate,3,5.8,4.75,8,1,[9],6,6.5,2,1,[9],6,5.5,2,1,[8],,,,,,1772122064759,1772122069988,5229,1772122070201,1772122087334,17133,1772122087550,1772122169624,82074,1772122169845,,,1772122169937,1772122210670,40733,1772122237086,1772122285699,48613,1772122211010,1772122236776,25766,1772122236987,,,1772122210879,,,1772122285908,,,1772122286008,1772122317365,31357,1772122317572,1772122333120,15548,1772122333343,0,FALSE,"[{""checkId"":""attention1"",""passed"":false,""answer"":"""",""expected"":""strongly_disagree""}]",0,1,TRUE,t1,6,5.5,0.5,0.9,USD,FALSE,,FALSE,,1803,41,402,100,4,15984,3,1772122282866,11,0,0,0,[],1772122064543,269292,[],5.75,overestimate,5.8,45-54,prefer_not,doctorate,3
0.1.0-demo,Decision Study,2026-02-26T16:16:50.822Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1536,864,1536,695,698a9d7e99b45b1eee0065df,69a069767639e75a7bc2b117,69a0710f0369a94b0b1ecf5e,explicit,TRUE,5.75,overestimate,3.5,6,5,3,strongly_disagree,low,a_lot,25-34,female,bachelors,4,3.5,4.75,8,1,[9],6,6.5,2,1,[9],5,5.5,2,1,[8],3,4,8,1,[8],1772122391550,1772122393645,2095,1772122393858,1772122397642,3784,1772122397861,1772122455986,58125,1772122456215,1772122539561,83346,1772122539784,1772122545425,5641,1772122556407,1772122569327,12920,1772122569536,1772122577869,8333,1772122545639,1772122556195,10556,1772122578084,1772122583756,5672,1772122583965,1772122588114,4149,1772122588328,1772122601228,12900,1772122601440,1772122610105,8665,1772122610329,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t4,3.5,4.75,1.25,0.75,USD,FALSE,,FALSE,,1056,38,289,100,7,4552,6,1772122581926,155,3,103257,0,[],1772122391271,219551,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:16:56.593Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,1920,1080,1920,919,5df2be706e8aab1d1eb46feb,69a069767639e75a7bc2b117,69a07155be99da4a505cebc0,clean,TRUE,5.75,overestimate,3,5,5,4,strongly_disagree,low,a_lot,35-44,male,bachelors,2,3,4.75,8,1,[9],5,6.5,2,1,[9],5,5.5,2,1,[8],4,4,8,1,[8],1772122464123,1772122470452,6329,1772122470666,1772122474645,3979,1772122474859,1772122513002,38143,1772122513213,1772122545277,32064,1772122545483,1772122561777,16294,1772122571477,1772122577514,6037,1772122561989,1772122571274,9285,1772122581263,1772122591683,10420,1772122577723,1772122581053,3330,1772122591887,1772122595644,3757,1772122595850,1772122608080,12230,1772122608285,1772122615871,7586,1772122616084,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t2,4,4,0,1,USD,FALSE,,FALSE,,1655,33,650,100,9,2641,8,1772122590447,40,0,0,0,[],1772122463920,152673,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:20:35.087Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1366,768,1366,607,5addd5e8a7f2df000154665b,69a069767639e75a7bc2b117,69a070a06ba11306724fe0fc,explicit,TRUE,5.75,overestimate,4.6,6.5,4.3,3.6,strongly_disagree,low,somewhat,35-44,female,bachelors,3,4.6,4.75,8,1,[9],6.5,6.5,2,1,[9],4.3,5.5,2,1,[8],3.6,4,8,1,[8],1772122308476,1772122324246,15770,1772122324472,1772122333851,9379,1772122334087,1772122403218,69131,1772122403472,1772122442661,39189,1772122442917,1772122508581,65664,1772122575432,1772122609381,33949,1772122508801,1772122537848,29047,1772122538057,1772122561933,23876,1772122562147,1772122575214,13067,1772122609601,1772122620462,10861,1772122620679,1772122631358,10679,1772122631579,1772122834376,202797,1772122834618,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t3,6.5,6.5,0,1,USD,FALSE,,FALSE,,2965,31,338,100,16,5073,15,1772122606915,454,0,0,0,[],1772122308089,526998,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:22:45.138Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,864,1536,703,699e1a1b3d124d630b50044a,69a069767639e75a7bc2b117,69a0727f566ef72961e5b74e,explicit,TRUE,5.75,overestimate,7,6.5,6,6,strongly_disagree,low,a_lot,25-34,male,bachelors,3,7,4.75,8,1,[9],6.5,6.5,2,1,[9],6,5.5,2,1,[8],6,4,8,1,[8],1772122758815,1772122765019,6204,1772122765239,1772122779800,14561,1772122780019,1772122822911,42892,1772122823133,1772122856961,33828,1772122857180,1772122866772,9592,1772122906778,1772122922314,15536,1772122922523,1772122930686,8163,1772122890943,1772122906564,15621,1772122866990,1772122890733,23743,1772122930906,1772122938657,7751,1772122938873,1772122954023,15150,1772122954237,1772122964418,10181,1772122964642,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t1,6,5.5,0.5,0.9,USD,FALSE,,FALSE,,1975,33,574,100,6,8426,5,1772122929946,231,0,0,0,[],1772122758599,206539,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:27:24.942Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1280,720,638,598,62b628e4351d179f1ff6cc59,69a069767639e75a7bc2b117,69a072fe51c2b74f5a2dd967,clean,TRUE,5.75,overestimate,5,5,5,5,strongly_disagree,didnt_think,a_lot,25-34,female,doctorate,4,5,4.75,8,1,[9],5,6.5,2,1,[9],5,5.5,2,1,[8],5,4,8,1,[8],1772122896753,1772122899169,2416,1772122899391,1772122936479,37088,1772122936689,1772122968226,31537,1772122968475,1772123012273,43798,1772123012498,1772123022494,9996,1772123022707,1772123033381,10674,1772123033590,1772123038994,5404,1772123043577,1772123048524,4947,1772123039201,1772123043370,4169,1772123048735,1772123053077,4342,1772123053281,1772123071819,18538,1772123072028,1772123244213,172185,1772123244480,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t4,5,4.75,0.25,0.95,USD,FALSE,,FALSE,,997,36,172,100,13,10791,12,1772123046188,119,4,162267,0,[],1772122896539,348403,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:28:11.754Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1280,720,638,598,62029a55ef1cb18a1337c61a,69a069767639e75a7bc2b117,69a07331c4c36b062271ab3e,clean,TRUE,5.75,overestimate,5,5,5,5,strongly_disagree,didnt_think,somewhat,25-34,male,masters,5,5,4.75,8,1,[9],5,6.5,2,1,[9],5,5.5,2,1,[8],5,4,8,1,[8],1772122946255,1772122948043,1788,1772122948275,1772122949955,1680,1772122950187,1772122981477,31290,1772122981697,1772123012900,31203,1772123013138,1772123025049,11911,1772123045569,1772123047408,1839,1772123039985,1772123045353,5368,1772123035814,1772123039780,3966,1772123025267,1772123035607,10340,1772123047628,1772123051087,3459,1772123051304,1772123070523,19219,1772123070730,1772123291022,220292,1772123291262,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t4,5,4.75,0.25,0.95,USD,FALSE,,FALSE,,1029,36,179,100,5,24682,4,1772123046676,166,1,201215,0,[],1772122946040,345713,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:37:47.759Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",1366,768,1358,636,5fd244cf39e5f7082808979c,69a069767639e75a7bc2b117,69a074820e74f0e84577f3c0,explicit,TRUE,5.75,overestimate,4.7,6,3.5,6.8,strongly_disagree,high,a_lot,45-54,female,bachelors,2,4.7,4.75,8,1,[9],6,6.5,2,1,[9],3.5,5.5,2,1,[8],6.8,4,8,1,[8],1772123430148,1772123459159,29011,1772123459380,1772123479253,19873,1772123479493,1772123571611,92118,1772123571860,1772123629639,57779,1772123629894,1772123645276,15382,1772123676034,1772123755858,79824,1772123756063,1772123777885,21822,1772123645491,1772123675814,30323,1772123778096,1772123798214,20118,1772123798432,1772123827123,28691,1772123827351,1772123850602,23251,1772123850832,1772123867041,16209,1772123867291,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t4,4.7,4.75,0.05,0.99,USD,FALSE,,FALSE,,720,33,99,100,11,12324,10,1772123796605,326,0,0,0,[],1772123429887,437872,[],,,,,,,
0.1.0-demo,Decision Study,2026-02-26T16:42:56.834Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1680,1050,1680,963,696a651a32c5d3c0adb0b7cc,69a069767639e75a7bc2b117,69a076b8850c98272fb51662,clean,TRUE,5.75,overestimate,8.5,3,2.75,8,strongly_disagree,low,a_lot,35-44,female,some_college,2,8.5,4.75,8,1,[9],3,6.5,2,1,[9],2.75,5.5,2,1,[8],8,4,8,1,[8],1772123840089,1772123844646,4557,1772123844848,1772123855562,10714,1772123855767,1772123907686,51919,1772123907900,1772123965651,57751,1772123965862,1772123979202,13340,1772123979408,1772124032895,53487,1772124102421,1772124116573,14152,1772124033097,1772124060814,27717,1772124061016,1772124102218,41202,1772124116775,1772124123169,6394,1772124123372,1772124159574,36202,1772124159777,1772124176131,16354,1772124176342,0,FALSE,"[{""checkId"":""attention1"",""passed"":true,""answer"":""strongly_disagree"",""expected"":""strongly_disagree""}]",1,0,TRUE,t3,3,6.5,3.5,0.3,USD,FALSE,,FALSE,,1971,35,351,100,12,8100,11,1772124115441,40,0,0,0,[],1772123839748,337085,[],,,,,,,
,,,,,,,,,,,,,,,5.21,5.42,4.755,5.288888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.383333333,4.866666667,4.791666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.95,6.25,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,